"Part1","Part2"
"RNU4-2","RNU6-475P"
"RNU4-2","RNU6-487P"
"RNU4-2","SNORD3A"
"RNU4-2","RNU6-378P"
"RNU4-2","RNU6-222P"
"RNU4-2","RNU6-41P"
"RNU4-2","RNU6-707P"
"RNU4-2","RNU6-671P"
"RNU4-2","RNU6-1249P"
"RNU4-2","RN7SL5P"
"RNU4-2","RNU6-40P"
"RNU4-2","RNU6-475P"
"RNU4-2","RNU6-358P"
"RNU4-2","RNU6-462P"
"RNU4-2","ENSG00000262202.2"
"RNU4-2","RNU6-222P"
"RNU4-2","SNORD42B"
"RNU4-2","RNU6-761P"
"RNU4-2","RNU6-671P"
"RNU4-2","RNU6-622P"
"RNU4-2","RNU6-958P"
"RNU4-2","RNU6-487P"
"RNU4-2","SNORD3B-2"
"RNU4-2","RNA5SP150"
"RNU4-2","SNORA21"
"RNU4-2","RNU6-1024P"
"RNU4-2","RNU6-671P"
"RNU4-2","RNU6-106P"
"RNU4-2","RNU6-553P"
"RNU4-2","RNU6-553P"
"RNU4-2","SNORD3C"
"RNU4-2","RNA5SP226"
"RNU4-2","RNU6-1225P"
"RNU4-2","RNU6-1201P"
"RNU4-2","RNU6-958P"
"RNU4-2","RNU6-1048P"
"RNU4-2","SNORD42B"
"RNU4-2","RNU6-1248P"
"RNU4-2","RNU6-32P"
"RNU4-2","SNORD58A"
"RNU4-2","RNU6-847P"
"RNU4-2","RNU6-585P"
"RNU4-2","RNU6-671P"
"RNU4-2","RNU6-20P"
"RNU4-2","RNU6-180P"
"RNU4-2","RNU6-493P"
"RNU4-2","RNU6-380P"
"RNU4-2","RNU6-475P"
"RNU4-2","RNU6-737P"
"RNU4-2","SNORD3C"
"RNU4-2","RNU6-658P"
"RNU4-2","RNU6-475P"
"RNU4-2","RNU6-31P"
"RNU4-2","RNU6-45P"
"RNU4-2","RNU6-45P"
"RNU4-2","RNU6-253P"
"RNU4-2","ENSG00000262074.3"
"RNU4-2","RNU6-1266P"
"RNU4-2","RNU6-31P"
"RNU4-2","RNU6-737P"
"RNU4-2","RNU6-166P"
"RNU4-2","RNU6-453P"
"RNU4-2","RNU6-727P"
"RNU4-2","RNU6-208P"
"RNU4-2","RNU6-1201P"
"RNU4-2","RNU6-649P"
"RNU4-2","RNU6-737P"
"RNU4-2","RNU6-47P"
"RNU4-2","SNORD3B-1"
"RNU4-2","SNORD42B"
"RNU4-2","RNU6-154P"
"RNU4-2","RNU6-1182P"
"RNU4-2","ENSG00000265185.1"
"RNU4-2","RNU6-727P"
"RNU4-2","RNU6-47P"
"RNU4-2","RNU6-580P"
"RNU4-2","RNU6-60P"
"RNU4-2","RNU6-1266P"
"RNU4-2","RNU6-169P"
"RNU4-2","RNU6-1249P"
"RNU4-2","RNU6-154P"
"RNU4-2","RNU6-31P"
"RNU4-2","RNU6-585P"
"RNU4-2","RNU6-737P"
"RNU4-2","RNU6-991P"
"RNU4-2","RNU6-738P"
"RNU4-2","RNU6-310P"
"RNU4-2","RNU6-862P"
"RNU4-2","RNU6-21P"
"RNU4-2","RNU6-1266P"
"RNU4-2","SNORA21"
"RNU4-2","RNU6-1266P"
"RNU4-2","RNU6-253P"
"RNU4-2","RNU6-23P"
"RNU4-2","SNORD58A"
"RNU4-2","RNU6-253P"
"RNU4-2","RNU6-51P"
"RNU4-2","RNU6-888P"
"RNU4-2","RNU6-301P"
"RNU4-2","RNU6-958P"
"RNU4-2","RNA5SP429"
