"RNAInterID","Interactor1.Symbol","Category1","Species1","Interactor2.Symbol","Category2","Species2","Raw_ID1","Raw_ID2","score","strong","weak","predict"
"RR00037166","RNU4-2","mRNA","Homo sapiens","ACTG1","snRNA","Homo sapiens","NCBI:71","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00233287","RNU4-2","mRNA","Homo sapiens","BSPRY","snRNA","Homo sapiens","NCBI:54836","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00258783","RNU4-2","mRNA","Homo sapiens","C2orf70","snRNA","Homo sapiens","NCBI:339778","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00289640","RNU4-2","mRNA","Homo sapiens","CCDC177","snRNA","Homo sapiens","NCBI:56936","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00319947","RNU4-2","mRNA","Homo sapiens","CEP97","snRNA","Homo sapiens","NCBI:79598","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00380308","RNU4-2","mRNA","Homo sapiens","CUBN","snRNA","Homo sapiens","NCBI:8029","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR00757629","RNU4-2","mRNA","Homo sapiens","IRAK1","snRNA","Homo sapiens","NCBI:3654","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01028440","RNU4-2","mRNA","Homo sapiens","NUP43","snRNA","Homo sapiens","NCBI:348995","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01042939","RNU4-2","pseudo","Homo sapiens","OLA1P3","snRNA","Homo sapiens","NCBI:101060020","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01044803","RNU4-2","mRNA","Homo sapiens","OPRD1","snRNA","Homo sapiens","NCBI:4985","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01056537","RNU4-2","mRNA","Homo sapiens","P2RY11","snRNA","Homo sapiens","NCBI:5032","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR07460818","RNU4-2","pseudo","Homo sapiens","PPFIA1P1","snRNA","Homo sapiens","NCBI:100422710","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01206579","RNU4-2","mRNA","Homo sapiens","RCBTB1","snRNA","Homo sapiens","NCBI:55213","NCBI:26834",0.2566,"N/A","PARIS","N/A"
"RR01231954","RNU4-2","snRNA","Homo sapiens","AC019072.1","pseudo","Homo sapiens","NCBI:26834","Ensembl:ENSG00000271639",0.2566,"N/A","PARIS","N/A"
"RR01231955","RNU4-2","snRNA","Homo sapiens","AC108134.2","lncRNA","Homo sapiens","NCBI:26834","Ensembl:ENSG00000261889",0.2566,"N/A","PARIS","N/A"
"RR06577028","RNU4-2","snRNA","Homo sapiens","FAM166C","mRNA","Homo sapiens","NCBI:26834","NCBI:339778",0.2566,"N/A","PARIS","N/A"
"RR01231951","RNU4-2","snRNA","Homo sapiens","RNU4-49P","snRNA","Homo sapiens","NCBI:26834","NCBI:106481187",0.3214,"N/A","PARIS","N/A"
"RR01231952","RNU4-2","snRNA","Homo sapiens","RNU6-47P","pseudo","Homo sapiens","NCBI:26834","NCBI:106480710",0.2566,"N/A","PARIS","N/A"
"RR01231953","RNU4-2","snRNA","Homo sapiens","RNU6-888P","pseudo","Homo sapiens","NCBI:26834","NCBI:106479959",0.2566,"N/A","PARIS","N/A"
"RR01231956","RNU4-2","snRNA","Homo sapiens","RPL19P16","pseudo","Homo sapiens","NCBI:26834","NCBI:646255",0.2566,"N/A","PARIS","N/A"
"RR01231957","RNU4-2","snRNA","Homo sapiens","SMG1","mRNA","Homo sapiens","NCBI:26834","NCBI:23049",0.2566,"N/A","PARIS","N/A"
"RR01231958","RNU4-2","snRNA","Homo sapiens","SNORD118","snoRNA","Homo sapiens","NCBI:26834","NCBI:727676",0.2566,"N/A","PARIS","N/A"
"RR01231959","RNU4-2","snRNA","Homo sapiens","SOAT1","mRNA","Homo sapiens","NCBI:26834","NCBI:6646",0.2566,"N/A","PARIS","N/A"
"RR01231960","RNU4-2","snRNA","Homo sapiens","THADA","mRNA","Homo sapiens","NCBI:26834","NCBI:63892",0.2566,"N/A","PARIS","N/A"
"RR01231962","RNU4-2","snRNA","Homo sapiens","U1","snRNA","Homo sapiens","NCBI:26834","Ensembl:ENSG00000270722",0.2566,"N/A","PARIS","N/A"
"RR01231963","RNU4-2","snRNA","Homo sapiens","ZNF536","mRNA","Homo sapiens","NCBI:26834","NCBI:9745",0.2566,"N/A","PARIS","N/A"
