"Part1","Part2"
"RNU4-2","ACTG1"
"RNU4-2","BSPRY"
"RNU4-2","C2orf70"
"RNU4-2","RNU4-27P"
"RNU4-2","RNU4-29P"
"RNU4-2","RNU4-29P"
"RNU4-2","RNU4-29P"
"RNU4-2","CCDC177"
"RNU4-2","CEP97"
"RNU4-2","CUBN"
"RNU4-2","RNU4-25P"
"RNU4-2","IRAK1"
"RNU4-2","RNU4-23P"
"RNU4-2","RNU4-25P"
"RNU4-2","RNU4-29P"
"RNU4-2","RNU4-22P"
"RNU4-2","RNU4-23P"
"RNU4-2","RNU4-24P"
"RNU4-2","NUP43"
"RNU4-2","OLA1P3"
"RNU4-2","OPRD1"
"RNU4-2","P2RY11"
"RNU4-2","PPFIA1P1"
"RNU4-2","RCBTB1"
"RNU4-2","AC019072.1"
"RNU4-2","AC108134.2"
"RNU4-2","FAM166C"
"RNU4-2","RNU4-49P"
"RNU4-2","RNU6-47P"
"RNU4-2","RPL19P16"
"RNU4-2","SMG1"
"RNU4-2","SNORD118"
"RNU4-2","SOAT1"
"RNU4-2","THADA"
"RNU4-2","U1"
"RNU4-2","ZNF536"
"RNU4-2","lncRNA-LBCS"
"RNU4-2","RNU6-3P"
"RNU4-2","RNU4-82P"
"RNU4-2","hsa-miR-370"
"RNU4-2","hsa-miR-532-3p"
"RNU4-2","hsa-mir-150"
"RNU4-2","hsa-mir-181c"
"RNU4-2","hsa-mir-186-3p"
"RNU4-2","hsa-mir-210"
"RNU4-2","hsa-mir-27a/27b"
"RNU4-2","hsa-mir-27b-3p"
