"Part1","Part2"
"RNU4-1","RNU6-7"
"RNU4-1","RNU6-761P"
"RNU4-1","RN7SL575P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-15P"
"RNU4-1","RN7SL1"
"RNU4-1","RNU6-36P"
"RNU4-1","RPPH1"
"RNU4-1","RNU6-37P"
"RNU4-1","RNU6-27P"
"RNU4-1","RNU6-5P"
"RNU4-1","RNU6-42P"
"RNU4-1","RNA28S5"
"RNU4-1","RNU6-10P"
"RNU4-1","RNU6-33P"
"RNU4-1","RNU6-14P"
"RNU4-1","RNU6-29P"
"RNU4-1","RNU6-720P"
"RNU4-1","RNU6-25P"
"RNU4-1","RNU6-44P"
"RNU4-1","RNU6-1058P"
"RNU4-1","RNU6-47P"
"RNU4-1","RNU6-32P"
"RNU4-1","RNU6-929P"
"RNU4-1","RNU6-128P"
"RNU4-1","RNU6-97P"
"RNU4-1","RNU6-1301P"
"RNU4-1","SCARNA22"
"RNU4-1","RNU6-164P"
"RNU4-1","RNU6-48P"
"RNU4-1","RNU6-650P"
"RNU4-1","RNU6-98P"
"RNU4-1","RNU2-59P"
"RNU4-1","RNU6-39P"
"RNU4-1","RNU6-17P"
"RNU4-1","RNU6-105P"
"RNU4-1","RNU6-1329P"
"RNU4-1","RNU6-28P"
"RNU4-1","RNA5SP216"
"RNU4-1","RNU6-16P"
"RNU4-1","RNU6-383P"
"RNU4-1","RNU6-24P"
"RNU4-1","RN7SL2"
"RNU4-1","RNU6-1020P"
"RNU4-1","RNU6-1128P"
"RNU4-1","RNU1-1"
"RNU4-1","RNU6-34P"
"RNU4-1","RNU6-1147P"
"RNU4-1","RNU6-1340P"
"RNU4-1","RNU6-114P"
"RNU4-1","RNU6-1336P"
"RNU4-1","U6"
"RNU4-1","NDUFB1"
"RNU4-1","RNU6-820P"
"RNU4-1","RNU6-1316P"
"RNU4-1","RNU6-994P"
"RNU4-1","RNU6-268P"
"RNU4-1","RNU6-735P"
"RNU4-1","SCARNA2"
"RNU4-1","RNU6-906P"
"RNU4-1","snord105b"
"RNU4-1","GDF2"
"RNU4-1","RNU6-31P"
"RNU4-1","TMC5"
"RNU4-1","VENTXP4"
"RNU4-1","TP63"
"RNU4-1","18S_RRNA"
"RNU4-1","GAS5"
"RNU4-1","LINC00958"
"RNU4-1","NORAD"
"RNU4-1","RAD51-AS1"
"RNU4-1","RNA5-8SP6"
"RNU4-1","SNORD105B"
