"ncRI.40969514"	"U11"	"ENSG00000274978"	"snRNA"	"C21orf33"	"F2Z2Q0.P30042.A0A096LNH5"	"protein"	"Since.T.C.transitions.indicate.the.existence.of.cross.links.between.4.thiouridine.residues.in.RNA.and.protein.contacting.them..we.concluded.that.the.interactions.of.FLAGeS1.with.the.above.mentioned.regions.of.RNAs.transcribed.from.the.U11.and.U5.snRNA.encoding.genes.took.place.in.living.cells"	"PAR.CLIP.approach"	"X28666385"	"Homo.sapiens"	"HEK293"	"ncRNA.protein.binding"	"binding"	"RNA.Protein"	"Literature.Mining"
"ncRI-41008531"	"RNU4-2"	"ENSG00000136144"	"mRNA"	"RCBTB1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008532"	"RNU4-2"	"ENSG00000200463"	"snoRNA"	"SNORD118"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008533"	"RNU4-2"	"ENSG00000271639"	"pseudogene"	"RP11-289A15"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008534"	"RNU4-2"	"ENSG00000115970"	"mRNA"	"THADA"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008535"	"RNU4-2"	"ENSG00000198597"	"mRNA"	"ZNF536"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008536"	"RNU4-2"	"ENSG00000257966"	"pseudogene"	"OLA1P3"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008537"	"RNU4-2"	"ENSG00000120253"	"mRNA"	"NUP43"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008538"	"RNU4-2"	"ENSG00000244165"	"mRNA"	"P2RY11"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008539"	"RNU4-2"	"ENSG00000182504"	"mRNA"	"CEP97"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008540"	"RNU4-2"	"ENSG00000270722"	"snRNA"	"U1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008541"	"RNU4-2"	"ENSG00000236762"	"pseudogene"	"RP11-159H3"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008542"	"RNU4-2"	"ENSG00000184216"	"mRNA"	"IRAK1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008543"	"RNU4-2"	"ENSG00000184009"	"mRNA"	"ACTG1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008544"	"RNU4-2"	"ENSG00000206593"	"snRNA"	"RNU6-47P"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008545"	"RNU4-2"	"ENSG00000107611"	"mRNA"	"CUBN"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008546"	"RNU4-2"	"ENSG00000116329"	"mRNA"	"OPRD1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008547"	"RNU4-2"	"ENSG00000057252"	"mRNA"	"SOAT1"	"ENSG00000202538"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41008800"	"RNU4-2"	"ENSG00000202538"	"snRNA"	"BSPRY"	"ENSG00000119411"	"mRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41009253"	"RNU4-2"	"ENSG00000199709"	"snRNA"	"RNU6-3P"	"ENSG00000207041"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41010232"	"RNU4-2"	"ENSG00000199313"	"snRNA"	"RNU4-25P"	"ENSG00000222501"	"snRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41011481"	"RNU4-2"	"ENSG00000202538"	"snRNA"	"SMG1"	"ENSG00000157106"	"mRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41012244"	"RNU4-2"	"ENSG00000202538"	"snRNA"	"C2orf70"	"ENSG00000173557"	"mRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41014243"	"RNU4-2"	"ENSG00000202538"	"snRNA"	"RP11-473M20.16"	"NONHSAG018395.3"	"lncRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
"ncRI-41014853"	"RNU4-2"	"ENSG00000202538"	"snRNA"	"CCDC177"	"ENSG00000267909"	"mRNA"	"RNA-RNA interaction from RISE database"	"PARIS"	"27180905"	"Homo sapiens"	"HEK293T"	"RNA-RNA interaction"	"binding"	"RNA-RNA"	"RISE database"
